Dissolved_Oxygen,Temperature,pH,Plant_Type
6.1,9,6.6,"Cold, Neutral River with Moderate Oxygen"
4.8,18.5,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5.1,14,5.9,"Cool, Acidic River with Moderate Oxygen"
6.1,10,6.9,"Cold, Neutral River with Moderate Oxygen"
4.9,16,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,19.7,7.3,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10,12.3,7.3,"Cool, Neutral Stream with High Oxygen"
9,11,7,"Cool, Neutral Stream with High Oxygen"
9.8,10,7.4,"Cool, Neutral Stream with High Oxygen"
6,22,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
9.2,11.4,7.4,"Cool, Neutral Stream with High Oxygen"
9,10.8,7.2,"Cool, Neutral Stream with High Oxygen"
6,22,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
9,11,7,"Cool, Neutral Stream with High Oxygen"
12,10.5,7.4,"Cool, Neutral Stream with High Oxygen"
5.7,22.8,7.3,"Tropical, Neutral Lake with Moderate Oxygen"
4,26.2,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
7,9,6.7,"Cold, Neutral River with Moderate Oxygen"
5.5,25,6.9,"Tropical, Neutral Lake with Moderate Oxygen"
10.7,10.9,7.3,"Cool, Neutral Stream with High Oxygen"
4.3,18.4,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8,26.2,6.8,"Hot, Neutral Pond with High Oxygen"
4.7,27.5,7.6,"Warm, Slightly Alkaline Lake with Low Oxygen"
10.8,11,6.8,"Cool, Neutral Stream with High Oxygen"
11.4,10,7.4,"Cool, Neutral Stream with High Oxygen"
8.2,13.5,7,"Cool, Neutral Stream with High Oxygen"
10,15,7.2,"Cool, Neutral Stream with High Oxygen"
10,13,6.8,"Cool, Neutral Stream with High Oxygen"
9,13,7.1,"Cool, Neutral Stream with High Oxygen"
6,22.5,7,"Tropical, Neutral Lake with Moderate Oxygen"
7,24,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
6,25,7,"Tropical, Neutral Lake with Moderate Oxygen"
5,22.6,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
4.7,29.3,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
12.9,18.4,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
11.2,11.9,7.3,"Cool, Neutral Stream with High Oxygen"
12,10.5,7.5,"Cool, Neutral Stream with High Oxygen"
8.5,12.8,7,"Cool, Neutral Stream with High Oxygen"
9.9,11.9,7,"Cool, Neutral Stream with High Oxygen"
10,12,7.5,"Cool, Neutral Stream with High Oxygen"
9.5,11.9,7,"Cool, Neutral Stream with High Oxygen"
12.7,11.4,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10.6,12.7,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
7.2,20,6.9,"Hot, Neutral Pond with High Oxygen"
10.6,13.5,6.8,"Cool, Neutral Stream with High Oxygen"
11,13,7.1,"Cool, Neutral Stream with High Oxygen"
7.2,24,6.8,"Hot, Neutral Pond with High Oxygen"
9,13.5,7.1,"Cool, Neutral Stream with High Oxygen"
7,25.5,6.7,"Tropical, Neutral Lake with Moderate Oxygen"
8,22.5,7,"Hot, Neutral Pond with High Oxygen"
11.6,11,6.9,"Cool, Neutral Stream with High Oxygen"
10,11,7.4,"Cool, Neutral Stream with High Oxygen"
7.8,23.5,6.9,"Hot, Neutral Pond with High Oxygen"
10.2,12,6.8,"Cool, Neutral Stream with High Oxygen"
10.4,11,7.4,"Cool, Neutral Stream with High Oxygen"
9.6,11.7,7.4,"Cool, Neutral Stream with High Oxygen"
8.5,10.5,7.2,"Cool, Neutral Stream with High Oxygen"
9,24,7,"Hot, Neutral Pond with High Oxygen"
10,24,6.9,"Hot, Neutral Pond with High Oxygen"
8,14,7.5,"Cool, Neutral Stream with High Oxygen"
10,11,6.8,"Cool, Neutral Stream with High Oxygen"
4.3,10,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.5,12.2,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8,12.1,6.9,"Cool, Neutral Stream with High Oxygen"
2.1,14.8,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,10.2,7.7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5.9,5.2,6.5,"Cold, Neutral River with Moderate Oxygen"
7,22,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
9.5,14.6,7.5,"Cool, Neutral Stream with High Oxygen"
9.2,20,6.9,"Hot, Neutral Pond with High Oxygen"
9.8,23,6.9,"Hot, Neutral Pond with High Oxygen"
4.7,26,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
6.7,25,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
6.9,10,7.2,"Cold, Neutral River with Moderate Oxygen"
7,15,5.5,"Cool, Acidic River with Moderate Oxygen"
5,22,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
4,22,6.6,"Tropical, Neutral Lake with Moderate Oxygen"
9,15,7,"Cool, Neutral Stream with High Oxygen"
9.2,10,7,"Cool, Neutral Stream with High Oxygen"
9.7,11,7,"Cool, Neutral Stream with High Oxygen"
12,12,7,"Cool, Neutral Stream with High Oxygen"
10,15,7.5,"Cool, Neutral Stream with High Oxygen"
9.2,15,7.5,"Cool, Neutral Stream with High Oxygen"
11.5,13,7.5,"Cool, Neutral Stream with High Oxygen"
4.3,15.3,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10.6,10,7.1,"Cool, Neutral Stream with High Oxygen"
11.7,10,7.1,"Cool, Neutral Stream with High Oxygen"
5,22.2,6.7,"Tropical, Neutral Lake with Moderate Oxygen"
7.5,27,7,"Hot, Neutral Pond with High Oxygen"
10,15,6.9,"Cool, Neutral Stream with High Oxygen"
10.5,10.5,7,"Cool, Neutral Stream with High Oxygen"
10,10.4,6.8,"Cool, Neutral Stream with High Oxygen"
11,10.6,7.2,"Cool, Neutral Stream with High Oxygen"
9.5,21,7.2,"Hot, Neutral Pond with High Oxygen"
9.5,21,6.8,"Hot, Neutral Pond with High Oxygen"
10,11,7,"Cool, Neutral Stream with High Oxygen"
9,22,6.9,"Hot, Neutral Pond with High Oxygen"
11,11,6.9,"Cool, Neutral Stream with High Oxygen"
8.5,22,7,"Hot, Neutral Pond with High Oxygen"
8.5,15,7,"Cool, Neutral Stream with High Oxygen"
10,10,7,"Cool, Neutral Stream with High Oxygen"
10,10.3,7,"Cool, Neutral Stream with High Oxygen"
7.4,22,6.8,"Hot, Neutral Pond with High Oxygen"
6.4,24,6.6,"Tropical, Neutral Lake with Moderate Oxygen"
6.4,22.5,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
6,24,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
5.5,25,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
7,26,7.3,"Tropical, Neutral Lake with Moderate Oxygen"
6.6,26,7.2,"Tropical, Neutral Lake with Moderate Oxygen"
6.6,22,7,"Tropical, Neutral Lake with Moderate Oxygen"
5,24,7,"Tropical, Neutral Lake with Moderate Oxygen"
6,25,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
6.6,27,7,"Tropical, Neutral Lake with Moderate Oxygen"
6.6,24.7,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
10,15,6.8,"Cool, Neutral Stream with High Oxygen"
11.3,14.3,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10,15,7,"Cool, Neutral Stream with High Oxygen"
6,10,7.1,"Cold, Neutral River with Moderate Oxygen"
9,14,7.3,"Cool, Neutral Stream with High Oxygen"
11,12,7.1,"Cool, Neutral Stream with High Oxygen"
11,15,7.4,"Cool, Neutral Stream with High Oxygen"
9,14.1,7,"Cool, Neutral Stream with High Oxygen"
10,14,6.8,"Cool, Neutral Stream with High Oxygen"
11,13,7.5,"Cool, Neutral Stream with High Oxygen"
10,12,7,"Cool, Neutral Stream with High Oxygen"
10,15,7.1,"Cool, Neutral Stream with High Oxygen"
9,14,7,"Cool, Neutral Stream with High Oxygen"
12,12,7,"Cool, Neutral Stream with High Oxygen"
13,13,6.4,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
5,15,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
12,14,6.8,"Cool, Neutral Stream with High Oxygen"
10.7,17.3,6.4,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10.5,12.7,7.2,"Cool, Neutral Stream with High Oxygen"
11.8,10.5,6.3,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10.5,13.4,7.4,"Cool, Neutral Stream with High Oxygen"
8,24,7,"Hot, Neutral Pond with High Oxygen"
8,25,7,"Hot, Neutral Pond with High Oxygen"
8,25,7,"Hot, Neutral Pond with High Oxygen"
13,13,6.4,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
9,26,7,"Hot, Neutral Pond with High Oxygen"
12,12,6.3,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
12,12,6.3,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
8,25,7,"Hot, Neutral Pond with High Oxygen"
8.6,22.1,6.9,"Hot, Neutral Pond with High Oxygen"
4,13.8,7.4,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5.8,29.1,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
4.3,28.3,7.2,"Tropical, Neutral Lake with Moderate Oxygen"
4.5,10,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5.5,5,7.1,"Cold, Neutral River with Moderate Oxygen"
8.1,15,7.5,"Cool, Neutral Stream with High Oxygen"
4,22,6.2,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
9.2,15,7.1,"Cool, Neutral Stream with High Oxygen"
4.2,15.7,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
12,14,7,"Cool, Neutral Stream with High Oxygen"
5,10.5,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8,11,7,"Cool, Neutral Stream with High Oxygen"
8,11.7,7,"Cool, Neutral Stream with High Oxygen"
2,15,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
11.3,11.3,7.5,"Cool, Neutral Stream with High Oxygen"
8.3,22.4,6.8,"Hot, Neutral Pond with High Oxygen"
9.9,20.7,6.9,"Hot, Neutral Pond with High Oxygen"
7.2,20,6.9,"Hot, Neutral Pond with High Oxygen"
8,13.4,6.9,"Cool, Neutral Stream with High Oxygen"
11,14,7.1,"Cool, Neutral Stream with High Oxygen"
10,12.2,6.9,"Cool, Neutral Stream with High Oxygen"
9.2,23.3,6.8,"Hot, Neutral Pond with High Oxygen"
11.2,10.2,7.1,"Cool, Neutral Stream with High Oxygen"
8,20.3,6.8,"Hot, Neutral Pond with High Oxygen"
10.3,10,6.8,"Cool, Neutral Stream with High Oxygen"
6.4,22,6.9,"Tropical, Neutral Lake with Moderate Oxygen"
7.9,21.6,7,"Hot, Neutral Pond with High Oxygen"
7,8.8,6.6,"Cold, Neutral River with Moderate Oxygen"
5.1,23.5,7.2,"Tropical, Neutral Lake with Moderate Oxygen"
7.9,21.6,7,"Hot, Neutral Pond with High Oxygen"
6.1,24.1,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
8.3,13.5,7.3,"Cool, Neutral Stream with High Oxygen"
9.5,11.7,7.3,"Cool, Neutral Stream with High Oxygen"
3.8,20,7.7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,17.5,7.7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,19.5,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,20,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,16,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,16.5,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.5,19.5,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,17,7.7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.5,20,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,17,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
9.8,10,7.2,"Cool, Neutral Stream with High Oxygen"
8,14,7.2,"Cool, Neutral Stream with High Oxygen"
5,12,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
11,12,7.5,"Cool, Neutral Stream with High Oxygen"
10.2,12,7.5,"Cool, Neutral Stream with High Oxygen"
10,10.3,7.1,"Cool, Neutral Stream with High Oxygen"
9.5,13.2,7.3,"Cool, Neutral Stream with High Oxygen"
8,15,7.5,"Cool, Neutral Stream with High Oxygen"
10,10,7.2,"Cool, Neutral Stream with High Oxygen"
10.6,11,7.4,"Cool, Neutral Stream with High Oxygen"
9.7,10.5,7.2,"Cool, Neutral Stream with High Oxygen"
9.4,11,7.1,"Cool, Neutral Stream with High Oxygen"
9.5,12,7.2,"Cool, Neutral Stream with High Oxygen"
10.5,10,7,"Cool, Neutral Stream with High Oxygen"
9,14.8,6.9,"Cool, Neutral Stream with High Oxygen"
10.4,12,7.4,"Cool, Neutral Stream with High Oxygen"
8,13,7.3,"Cool, Neutral Stream with High Oxygen"
8,10,7.4,"Cool, Neutral Stream with High Oxygen"
10,11,7,"Cool, Neutral Stream with High Oxygen"
9.4,13,7.4,"Cool, Neutral Stream with High Oxygen"
5,18,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,20,7.7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,11.3,7.3,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.6,20,7.7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,15,7.3,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.3,15.7,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,10,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8.7,15,7.2,"Cool, Neutral Stream with High Oxygen"
6.6,10,6.5,"Cold, Neutral River with Moderate Oxygen"
3.3,13.7,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8.9,13,7,"Cool, Neutral Stream with High Oxygen"
15,16,6.1,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10.1,13,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
9.9,10.5,6.9,"Cool, Neutral Stream with High Oxygen"
4.2,13.5,7.3,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6.3,9.9,6.5,"Cold, Neutral River with Moderate Oxygen"
3.4,17,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10,10.5,7.5,"Cool, Neutral Stream with High Oxygen"
8,13.6,6.8,"Cool, Neutral Stream with High Oxygen"
6,7.2,6.5,"Cold, Neutral River with Moderate Oxygen"
10,11,7.5,"Cool, Neutral Stream with High Oxygen"
10,13.5,6.9,"Cool, Neutral Stream with High Oxygen"
3.2,12,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.4,12.8,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8.6,12.6,7.4,"Cool, Neutral Stream with High Oxygen"
4.8,17.8,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.6,20,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,20,7.4,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.5,16.2,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.1,22.2,7,"Tropical, Neutral Lake with Moderate Oxygen"
4.1,23.7,7.4,"Tropical, Neutral Lake with Moderate Oxygen"
3.9,19.8,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.8,15.8,7.3,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8.3,10,7.5,"Cool, Neutral Stream with High Oxygen"
9.5,10.7,7,"Cool, Neutral Stream with High Oxygen"
4.9,11,7.4,"Temperate, Slightly Alkaline Lake with Low Oxygen"
12.3,10,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
4.5,10.5,7.7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8.1,11,7.5,"Cool, Neutral Stream with High Oxygen"
8.3,10,7.1,"Cool, Neutral Stream with High Oxygen"
10,12,6.8,"Cool, Neutral Stream with High Oxygen"
8.6,14,7.5,"Cool, Neutral Stream with High Oxygen"
9.1,10,7.3,"Cool, Neutral Stream with High Oxygen"
8.6,10,6.9,"Cool, Neutral Stream with High Oxygen"
8.4,13,7.2,"Cool, Neutral Stream with High Oxygen"
8.5,12,7.2,"Cool, Neutral Stream with High Oxygen"
11.8,11,6.9,"Cool, Neutral Stream with High Oxygen"
9.1,13,7.2,"Cool, Neutral Stream with High Oxygen"
3.8,10,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2,25,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
9.1,12,7,"Cool, Neutral Stream with High Oxygen"
8.4,15,7,"Cool, Neutral Stream with High Oxygen"
9.1,15,7.3,"Cool, Neutral Stream with High Oxygen"
8.4,14.1,7.1,"Cool, Neutral Stream with High Oxygen"
7,9.6,7,"Cold, Neutral River with Moderate Oxygen"
8.8,12.3,7.4,"Cool, Neutral Stream with High Oxygen"
8.3,10.2,7.2,"Cool, Neutral Stream with High Oxygen"
8,11.5,6.8,"Cool, Neutral Stream with High Oxygen"
8,10.7,7.2,"Cool, Neutral Stream with High Oxygen"
4.6,20,7.3,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.2,16.5,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.5,18,7.4,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.5,14,7.3,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.9,17.6,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.6,18.8,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.2,19.2,7.3,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,16.5,7.4,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10,10,7.4,"Cool, Neutral Stream with High Oxygen"
8,10,7.1,"Cool, Neutral Stream with High Oxygen"
6,13,6,"Cool, Acidic River with Moderate Oxygen"
8.2,13,7.3,"Cool, Neutral Stream with High Oxygen"
8,12,7.1,"Cool, Neutral Stream with High Oxygen"
8,11,7.2,"Cool, Neutral Stream with High Oxygen"
8,11,6.9,"Cool, Neutral Stream with High Oxygen"
15,11,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
2,16,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2,12,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
9,10,7,"Cool, Neutral Stream with High Oxygen"
9,11.5,7.4,"Cool, Neutral Stream with High Oxygen"
4.6,12,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,10.3,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.6,15.5,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.5,10.5,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.1,19.3,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8,10,7,"Cool, Neutral Stream with High Oxygen"
2.1,14,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.2,16,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.4,11,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,14.6,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8,15,7,"Cool, Neutral Stream with High Oxygen"
8,10,7,"Cool, Neutral Stream with High Oxygen"
2.8,12.5,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8,21.7,7,"Hot, Neutral Pond with High Oxygen"
3.2,10.8,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.8,13.5,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,12.2,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.7,20,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.3,16,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.2,19.5,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.7,15.3,7.7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8.4,12,7.2,"Cool, Neutral Stream with High Oxygen"
9.6,11,7.3,"Cool, Neutral Stream with High Oxygen"
13.5,10,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
9,10,7,"Cool, Neutral Stream with High Oxygen"
6,10,7,"Cold, Neutral River with Moderate Oxygen"
8.5,11,7.5,"Cool, Neutral Stream with High Oxygen"
15,15,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
15,15,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10,21,7,"Hot, Neutral Pond with High Oxygen"
5,18,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.6,14.3,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8.1,13,7.4,"Cool, Neutral Stream with High Oxygen"
8,10,7.4,"Cool, Neutral Stream with High Oxygen"
9.2,10,7.4,"Cool, Neutral Stream with High Oxygen"
2.5,16,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10.3,10,7.1,"Cool, Neutral Stream with High Oxygen"
1.6,10,8.3,"Cold, Alkaline Stream with Very Low Oxygen"
8.5,12,7.1,"Cool, Neutral Stream with High Oxygen"
2.6,12,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
11.1,11.5,6.8,"Cool, Neutral Stream with High Oxygen"
10.4,14,7.1,"Cool, Neutral Stream with High Oxygen"
9,12.4,6.9,"Cool, Neutral Stream with High Oxygen"
12,10,6.9,"Cool, Neutral Stream with High Oxygen"
8.9,11.6,7,"Cool, Neutral Stream with High Oxygen"
9.4,10.7,7.3,"Cool, Neutral Stream with High Oxygen"
9.9,12.2,7,"Cool, Neutral Stream with High Oxygen"
9.2,12.8,7.2,"Cool, Neutral Stream with High Oxygen"
10,11.1,7,"Cool, Neutral Stream with High Oxygen"
9.8,15,7.1,"Cool, Neutral Stream with High Oxygen"
13,16.5,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
6,9,7,"Cold, Neutral River with Moderate Oxygen"
8.6,10,7.5,"Cool, Neutral Stream with High Oxygen"
9,13,7,"Cool, Neutral Stream with High Oxygen"
5,13,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
9.6,20,6.8,"Hot, Neutral Pond with High Oxygen"
8.2,15,7,"Cool, Neutral Stream with High Oxygen"
4.9,17,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
7.5,23,7,"Hot, Neutral Pond with High Oxygen"
9.2,10,7,"Cool, Neutral Stream with High Oxygen"
5.9,10,7,"Cold, Neutral River with Moderate Oxygen"
7.8,23,7,"Hot, Neutral Pond with High Oxygen"
7.1,25,7,"Hot, Neutral Pond with High Oxygen"
8.8,10,7,"Cool, Neutral Stream with High Oxygen"
6.8,23,6.9,"Tropical, Neutral Lake with Moderate Oxygen"
9.4,10,7,"Cool, Neutral Stream with High Oxygen"
11,11.5,7,"Cool, Neutral Stream with High Oxygen"
5,8.2,6.5,"Cold, Neutral River with Moderate Oxygen"
9,13.9,7.5,"Cool, Neutral Stream with High Oxygen"
8,14.9,7.5,"Cool, Neutral Stream with High Oxygen"
6,6.7,7,"Cold, Neutral River with Moderate Oxygen"
8,10.6,7.5,"Cool, Neutral Stream with High Oxygen"
5.7,23,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
15,15,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
7,5,6.5,"Cold, Neutral River with Moderate Oxygen"
7,11,6,"Cool, Acidic River with Moderate Oxygen"
12,13.5,7,"Cool, Neutral Stream with High Oxygen"
7,14,5.5,"Cool, Acidic River with Moderate Oxygen"
12,14.5,7,"Cool, Neutral Stream with High Oxygen"
8,14,7,"Cool, Neutral Stream with High Oxygen"
7,10,7,"Cold, Neutral River with Moderate Oxygen"
3,11,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.4,11,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.1,15,7.7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,14,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.3,14,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.4,11,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10.2,13.7,7.3,"Cool, Neutral Stream with High Oxygen"
10.4,10.5,7.2,"Cool, Neutral Stream with High Oxygen"
7.6,20.2,6.8,"Hot, Neutral Pond with High Oxygen"
9.4,10.6,6.8,"Cool, Neutral Stream with High Oxygen"
8.5,11.8,6.9,"Cool, Neutral Stream with High Oxygen"
9,13.1,7.1,"Cool, Neutral Stream with High Oxygen"
5.7,7.4,6.7,"Cold, Neutral River with Moderate Oxygen"
6.9,9.3,6,"Cool, Acidic River with Moderate Oxygen"
8.3,12.7,6.8,"Cool, Neutral Stream with High Oxygen"
9.9,13.3,7.5,"Cool, Neutral Stream with High Oxygen"
6.8,7.3,6.5,"Cold, Neutral River with Moderate Oxygen"
6.2,9.9,7.1,"Cold, Neutral River with Moderate Oxygen"
5.6,5,6.9,"Cold, Neutral River with Moderate Oxygen"
9.4,11,7.5,"Cool, Neutral Stream with High Oxygen"
8,10,7.5,"Cool, Neutral Stream with High Oxygen"
8.5,12.5,7.5,"Cool, Neutral Stream with High Oxygen"
8.4,14,7.4,"Cool, Neutral Stream with High Oxygen"
8.4,14,7.4,"Cool, Neutral Stream with High Oxygen"
4.8,16.9,7.7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.6,15,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.2,16.9,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.5,13,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8.1,11.2,7.1,"Cool, Neutral Stream with High Oxygen"
2.9,16.2,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8.6,11.6,7.3,"Cool, Neutral Stream with High Oxygen"
3.5,13,7.3,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,17.6,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,10.9,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.4,16.9,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8,10.8,6.8,"Cool, Neutral Stream with High Oxygen"
2,19.4,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8,10,7,"Cool, Neutral Stream with High Oxygen"
5,16.5,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8.8,12,7,"Cool, Neutral Stream with High Oxygen"
2.8,14.3,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.5,13.8,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.4,14.5,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.7,15.8,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.9,17,7.3,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.8,18.8,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,12.1,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,13,7.4,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,14.3,7.7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,15,7.4,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10,10.7,7,"Cool, Neutral Stream with High Oxygen"
8.4,14.2,7.4,"Cool, Neutral Stream with High Oxygen"
2.1,12,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8.8,12.9,7.2,"Cool, Neutral Stream with High Oxygen"
10.2,14.8,7.5,"Cool, Neutral Stream with High Oxygen"
