pH,Humidity,Air Temp
7.7,15,24.6
7.5,16,24.9
7.9,16,28
8.1,29,33.3
7.9,29,27.2
7.8,30,32.7
7.2,30,29.5
7.6,30,28.7
8.2,16,17.6
7.9,16,21.5
6.3,16,22.7
5.7,16,26.7
6.4,16,18.5
6,16,19.6
7.1,16,21.3
7,16,24.9
8.5,16,28.2
8.6,16,31.7
7.9,16,22.1
7.7,30,17.7
7.8,32,23.1
8.3,8,27.8
7.8,32,28.1
7.7,30,32.2
7.7,32,28.4
8,30,23.4
8.5,30,18.8
8.3,30,21.4
7.1,30,22.4
6,31,26
7,32,32.8
6.5,32,32.9
7,32,34
7.2,32,34.3
8.2,25,22.7
8.5,30,19
7.8,29,23.8
7.9,29,26.5
7.8,29,30.1
7.9,32,33.6
7.8,19,30.7
7.9,16,36.8
7.4,16,40
7.8,16,30.4
8.4,16,21.7
8.1,16,24
6.7,16,29.9
5.8,31,25.4
6.7,32,25
6.2,32,27.3
7.4,29,12
7.5,30,16
8,28,19.1
8.3,28,19
7.6,27,20.5
7.5,30,16.6
7,75,17.5
8,49,17.5
8,43,18.2
7,44,18.2
7,46,17
8,40,22.7
7,40,15.2
7,54,12.5
8,40,16.9
7.5,29,19.1
7.5,28,14.9
8,29,12.6
7.6,17,11.6
7.5,20,10.2
7.4,14,10.5
6.6,41,6.1
6.6,31,4.7
6.6,16,6.9
6.6,97,11.3
6.7,35,10.1
8,21,11.9
8,35,8.2
8,28,9
8,15,17.8
8,18,6.5
6.7,16,9
6.7,15,6.8
6.7,10,20
6.6,14,16
6.7,23,11.8
8,28,13.5
8,20,3.3
8,14,12.9
8,13,9.6
8,46,10.9
5,25,10.8
5,26,12
5,70,5.3
4,89,10.9
4,38,8.3
4,31,7.3
6.4,33,11.8
6.4,37,11.4
6.4,50,9.8
6.4,34,7.9
6.4,28,6.4
7,44,5.6
7,43,11.2
1.5,29,8.8
6.4,54,12.4
6.4,53,11.4
6.4,31,8.8
6.4,40,12.2
6.4,32,10.6
8.3,18,10
8,16,20.3
7,19,16.4
7,19,21.6
7,19,15.4
6.8,89,21.3
7.2,18,25
7.2,17,17.6
7,17,15.4
7,15,22.2
5,42,16
5,31,9.2
6,20,7.5
5,20,11.3
5,24,20
5,24,20.1
4,40,23.6
4,42,22.6
4,28,24.2
7,22,24
7,19,17
7,17,19.8
7,24,22.2
6,20,23.7
7,20,23
7,20,28.1
7,17,23.2
6,16,20.5
7,20,27.5
6,18,23
6,17,22.7
6,37,26.3
6,23,21.4
7.9,58,16.7
7.9,26,19.3
7,20,24.9
7,18,23.4
7,56,25.3
8,31,25.8
7,22,21.9
7,17,22.9
6.8,16,14.3
6.7,8,20.1
6.8,14,23.2
7,21,21.6
6,26,20.1
7,23,20.7
9,16,25.6
9,15,23
9,15,23.8
9,17,23.4
6.8,23,25.9
6.6,17,27
6.5,46,27.8
6.5,30,29.8
6.5,5,29.8
7,13,30.9
7,7,30.1
7,12,27
7,15,28.8
6.8,12,26.6
6.8,21,31.1
6.8,10,28.2
6.8,12,30.2
6.7,24,28.6
6.3,17,23.4
7,18,26.3
6,13,33.1
7,30,34.4
6,40,31.5
7,26,32.2
7,28,33.6
8,75,28.6
8,72,23.1
8,41,25.1
6.8,25,28.3
6.7,48,28.6
7,24,27.9
7,50,31.3
6.5,31,32.1
8,13,33.3
7.5,17,33.9
7,21,33.8
7,19,33.9
7,34,8.9
7,33,29.9
7.5,16,27.9
7,38,29.4
7,22,23.9
7,18,25.3
7,41,27.7
7,23,30.3
7,51,26.6
7,20,22.4
7,16,21.7
7,18,23.2
7.1,14,26.4
6.6,17,32.1
5,16,32.3
6,15,27.9
5.5,17,27.6
7.5,18,28
6.5,22,26.4
6.5,18,25.4
7.5,22,32.1
6.5,20,31.1
7,20,31.3
6.5,12,31.2
6.5,13,26.7
6,10,30.3
6.3,13,26.7
6.7,13,21.7
6.3,18,26.2
6,26,26.2
6.2,21,29.7
7.3,26,13.3
7.7,22,13.3
8.3,23,15.1
7.3,20,14.5
6,19,11.2
6.3,23,14
7.7,16,11.2
6,18,13.6
6.3,18,10.1
7,16,6.9
7.7,18,9.1
7,15,9.1
5.5,20,10.7
8.9,17,9.3
8.7,18,7.9
6,18,12.7
4.5,19,11.4
5,17,9.5
5.1,25,9.2
5,26,5.3
7.1,17,8.1
6,31,1.5
6,34,-0.7
6.7,39,1.7
6.9,23,8.4
7.2,26,11.7
7.2,26,8
7.1,27,12
7.1,11,6.1
7.8,25,4.4
8,32,5
7,19,6.4
7.3,30,15.3
7.9,26,11.3
7.7,29,14.3
7.8,31,9.5
6.8,31,9.2
7.4,27,8
9.3,23,7.9
6.5,23,12.2
7.5,25,9.2
7.5,25,7.3
8,25,8.8
6,28,6.7
6,28,-0.7
7,24,-0.7
7.5,24,8
7,24,4.9
7,25,7.7
7.5,25,8.2
6.5,25,6.3
7.7,24,5.2
7.9,24,9.9
8.5,27,7.1
8.6,14,10.5
3.5,17,9.9
6.5,14,5.5
5.5,13,4.8
8.7,20,6
4,20,7
9.8,21,11.1
7.9,18,9.3
7.4,19,8.3
7.9,24,7.2
8.5,24,1.4
6.4,52.8,1.7
9.2,54.8,1.8
8,52.8,1.1
7,52.8,-0.8
8,47,11
7,51,9
8,61,9.5
8.6,60,7.2
7,23,7.1
6.7,61,9.6
4.7,47,12.5
4.7,47,12
4.9,48,14.1
8.7,56.1,14.4
8.8,62.5,4.2
8.9,68,5.8
8.3,67.9,2.6
7.6,57.6,9.4
7.7,68.8,10.2
7.8,70.2,13.1
8.2,64.9,8.8
8.3,49,8
6.9,52,8
6.9,66,7.6
7.1,99,11.1
7.1,70,8.2
6.9,77,11.3
6.9,75,16.7
8,13,15.8
5.7,88,7.5
5.5,22,2.7
7.6,55,10.2
5.5,32,5.2
6.5,30,6.3
5.5,29,5.8
6.5,33,5.8
7,33,11.9
6.5,34,6.7
7,37,9.4
7,31,14.4
7,26,12.7
7,30,7
7.7,19,8.5
7.8,72,12.9
7.2,89,9.8
8.1,34,13.6
8.1,26,16
7.7,40,18.8
5.5,62,18.7
7.7,49,7.5
7.9,49,11.5
8.3,26,7.8
8,27,9.1
8,31,5.3
8.4,37,8.3
7,57,11.9
7.7,54,11
8,90,4
6.6,58,7.1
7.2,58,29
6.1,58,24.5
6.2,88,23.8
6,70,26.7
7,40,25.8
8.3,24,26.8
7.6,20,21.8
6.9,23,19.7
6.3,33,17.5
7,44,18.3
7.5,85,20.8
7.5,52,23.9
7.7,37,18.2
7,35,25.4
6.7,36,27.9
6.3,8,25.2
7.7,6,24.6
4.7,8,21.4
10.1,14,22.7
11.1,9,21.6
12,16,14.9
6.3,19,21.1
4.9,9,24.2
6.3,11,26.7
6.6,10,26.6
6.1,6,23.9
4,6,27.3
6,8,31.7
6.6,12,31.5
7.3,70,28.8
7.9,7,30.3
7.6,8,32.7
7.6,9,30.8
8.3,8,23.9
5,60,25.4
5.3,51,19.4
8.4,67,23.6
8.5,67,25.8
6.9,65,26.4
6.9,71,24.8
7.1,60,21.4
6,46,26.1
8.4,57,29.8
8.3,48,28.8
8.8,69,26.7
8.7,71,28.6
7,68,28.1
6,65,20.6
4,67,25.7
6,69,28.3
7,68,29.3
6.5,62,28.3
7.2,67,28.2
8,58,27.8
8,54,25.9
8,61,24.3
8,71,24.1
6.6,64,26.4
5.9,66,25.6
7.5,66,22.7
8.2,65,27.6
6.5,66,27.6
7,58,24.9
7.4,60,24.4
8.3,62,27.2
8,71,29.2
8,68,22.8
6.9,68,25.4
7.5,60,30.1
6.8,67,28.3
7.7,64,23.9
7.8,12.1,27.2
8,12.1,28.4
8,12.1,29.1
6,12.9,29.7
7,12.9,22.6
7,12.9,27.3
7,22.6,25.3
6.5,22.6,21
6.5,22.6,21.9
6,18.8,23.9
6.5,18.8,24.7
6.7,18.8,26.8
6.9,16.2,27.3
5,16.2,24.8
7.5,16.2,27.8
7,11.4,22.7
7.4,11.4,20.4
6.9,11.4,19.3
7.2,45.1,20.8
6.7,45.1,22.2
6.7,45.1,24.2
6.7,38,26.6
5.9,38,30.1
6.2,38,31.1
6.2,26.5,31.2
6.3,16,28.4
6.6,16,32.3
5.9,16,25.3
6.3,19.5,26.4
6.3,19.5,21
6.7,19.5,20.7
6.5,26.5,24.8
6.6,18.4,25.8
7,18.4,27.1
6.4,24.1,15.6
6.3,24.1,17.3
5.4,24.1,21.3
5.8,16.2,25.7
5.9,16.2,27.4
5.8,16.2,27.3
6.1,12.1,26.4
7.1,12.1,6.7
7.5,12.1,7.6
6.7,12.9,12.2
6.7,12.9,7.9
6.5,12.9,1
6.6,22.2,4.1
6.5,26.2,-3.7
6.6,26.2,-4.3
7.8,17.5,7.2
7.7,17.5,9.4
7.5,17.5,1.9
6,11.4,14.6
6,16.7,15.2
6,31.4,14.7
7.3,20.5,7.4
7.8,30,3.1
7.9,21.8,10.5
7.3,63.3,13.4
7.5,60.8,9
6,55.8,14.7
6,30.9,-2.9
7.3,19.2,11.1
7.5,19.5,14.3
7.2,56.3,7.6
7.3,56.9,21.2
7.4,58.7,10.1
7.2,52.6,1.3
6.3,41.9,2.2
6.5,21.4,9.2
7.5,41.9,11.1
6.5,34.4,6.5
6,23.9,17.3
6,21.4,5.4
6,21.4,11
6,22.3,4.7
6,59.8,6.8
6,37.7,7.6
7,37.7,5.6
7,22.3,5.9
6,25.4,2.9
6,37.4,-3.6
8,29.5,6.8
8,49.8,17.2
7,47.1,11.9
6,69.4,6.9
7,31.4,7.8
7,84,11.9
8,72,10.5
7,68,12.7
7,74,19
6,65,9.2
6,59,16.2
6,72,23.4
7,76,27.3
6,81,24.2
6,80,12
6,92.5,10
6,77,5.1
7,68,25.9
6,77,18.9
6,71,25.9
7,81,26.1
6,69,21.4
6,75,7.9
6,74,13
4.8,44,8.2
6.1,61,14.2
6.3,58,13.4
4.8,59,20.6
6.1,61,21.6
6.3,59,23.9
5.8,62,28
6.5,62,20.4
7,58,25.3
4.9,52,18.8
7,53,17.9
7.4,58,21.6
7.3,60,25.3
6,51,24.4
6.5,62,17.6
6.1,63,21.4
6.6,53,19.1
5.6,53,14.7
5.8,44,22.1
7.7,39,19.2
7.9,28,30.4
7,25,24.2
8.2,25,20
7.8,40,18.5
8.2,46,22.9
6.6,29,17
7.1,28,25.6
6.5,28,18.4
6.9,33,24.2
7.6,30,22.1
7.4,55,24.5
6.8,58,27.2
6.9,49,29.9
7.5,48,25.7
5.2,49,21.5
5.4,56,26.5
5.5,44,27.7
5.4,67,24.4
5.5,64,22.6
5.5,76,24.4
4.7,63,24.6
6,37,24.1
7.7,57,23.4
7.3,55,19.5
6.6,52,23.8
6.7,47,24.8
6.1,52,25.3
6,52,26.3
5.3,51,17.7
5.3,51,13.4
6,48,23
5.3,53,21
7,63,18
6,60,14
7.7,57,18
4.9,52,4
7.5,54,9
5.3,49,9
7,49,5
8.5,64,21
6.4,54,25
6.4,68,10
6.4,47,13.6
6.4,45,5
6.4,40,10
4,66,6
5,42,9
5,47,6
5,51,6.2
5,44,15
4,47,15
4,43,27
4,60,7
6,47,12
6,41,9
6,54,12
6.4,53,10
6.4,58,6
6.4,53,6
6.4,46,2
6.4,45,7
6.4,49,7
6.4,48,5
5.5,54,4
5,53,4
8,46,5
8,50,3
8,50,2
7,44,6
7.6,48,8
7.4,54,10
7.9,61,3
6.7,55,6
6.2,53,3
6.1,68,24.2
6.6,53,25
6.4,42,29
8,48,33
7,52,36
6.7,43,36
9.2,54,38
8.4,51,40
9.2,58,37
9.5,45,39
8.8,48,48
6.9,46,25
7.3,52,26
2,53,26
7.3,53,17
7.8,52,17
7,48,16
5.7,52,15
6.7,55,16
7.1,53,20
7,51,23
5.7,44,15
6.7,47,23
5.3,41,21
5.7,40,22
5,37,25
5.7,41,22
7,39,18
6,34,17
5.5,32,17
7,33,17
5,37,24
6,34,23
7,33,24
9,37,25
8.7,29,20
8.2,29,19
7.5,50,19
8.6,58.2,19
9.3,56,20
9.2,51,21
8.7,52,21
8.6,63,20
9.2,47,20
8.6,50,17
8.9,45,23
9.1,77,21
8.4,47,24
9.2,43,24
8.9,56,23
9.2,34,27
8.7,56,27
9.3,56,20
8.7,54,20
9.4,52,25
8.9,51,25
9.2,51,26
9.2,56,26
8.5,58,29
8.9,58,28
7.8,58,27
8.7,56,27
8.6,55,28
8.6,55,28
8.5,60,23
9.2,47,24
8.5,47,26
8.6,58,27
8.6,59,27
8.5,56,28
9.2,51,29
8.9,58,27
9.2,61,27
9.1,55,28
9.4,78,27
8.5,63,28
8.9,53,26
8.6,64,26
8.9,54,28
8.6,52,25
9.2,32,22
8.6,57,24
8.6,45,24
8.6,31,24
8.9,47,25
9.2,34,27
8.8,29,25
8.9,59,23
8.8,35,23
8.6,43,23
9.3,35,24
8.7,36,23
9.4,56,27
8.9,48,27
9.3,67,26
8.6,24,29
8.9,55,30
9.1,44,30
8.6,41,30
9.2,28,28
7.3,28,28
6,50,28
5.4,49,29
4.7,37,30
4.6,49,30
4.9,56,28
9.1,51,26
8.2,80,27
4.7,53,28
6.5,39,28
6,34,35
5,49,35
9,38,26
5.2,35,32
9.2,48,32
7,49,32
6.6,57,24
4.7,52,27
4.1,48,30
9.2,44,32
9,57,32
8,22,30
8,35,35
8,34,36
8,40,34
7.4,35,31
8.9,48,31
8.9,44,30
9.1,44,33
9.3,44,32
7,35,28
6,35,26
6,44,30
9.4,44,32
6.5,34,32
9,40,30
7.4,38,29
6.5,43,28
8.3,35,24
7.8,32,21
8.7,56,26
9.6,34,20
9.7,29,22
10.6,27,20
9.1,31,22
9.5,45,22
9,49,22
9,23,22
9.5,25,24
8.7,62,25
9.3,53,21
9,100,19
8.5,30,17
8.2,91.4,18
8.8,25,17
10.1,35,18
8.7,33,17
8.8,25,16
8.7,32,13
8.8,31,13
9.2,20,11
8.8,32,13
8.9,30,13
9.4,25,13
8.2,30,14
8.2,23,19
9.8,31,19
9.2,25,19
9.4,46,19
8.9,32,19
8.6,56,16
8.8,57,16
9.1,49,16
8.4,30,17
8.9,41,19
8.9,45,19
7.8,38,15
9.7,51,12
9.1,52,13
8.2,43,15
8.2,30,14
8.8,32,17
9.6,42,17
8.9,35,18
8.9,59,18
8.2,56,18
9.2,32,18
8.3,50,18
9.1,35,19
8.5,50,19
9.3,54,18
9.1,51.6,19
8.1,51.6,12
8.9,54,14
8.8,58,14
9.8,60,18
9.3,61,17
8.6,51,16
9.3,52.1,13
9.1,50.1,15
8.2,50.1,15
8.6,51,15
8.7,50,16
8.5,50.1,18
9,43,19
7.9,65,21
9.5,31,15
9.5,42,15
9.7,36,11
9,51,11
9.3,48,14
8.7,47,14
8.6,51,15
9.9,46,17
9.5,57,17
8.7,36,17
9.5,39,15
8.4,38,15
8.7,36,19
9.1,51,22
9,53,22
8.8,43,16
9.6,27,17
8.7,53,17
8.7,47,18
8.5,46,21
8.9,58,21
8.9,36,21
8.1,36,19
9.3,34,23
11.9,29,23
8.8,58,23
8.6,64,19
9,47,20
9.6,59,20
8.8,32,20
9.1,40,22
8.6,40,25
8.4,59,25
8.6,44,23
8.4,44,25
8.8,55,26
9.3,65,27
9.1,64,23
9.1,42,25
9.2,45,20
8.6,51,21
8.4,54,22
9.2,54,21
8.9,64,17
9.3,38,18
7.3,38,18
9.2,43,21
9,39,22
9,41,23
9.1,50,23
7,36,17
7.4,37,17
6.5,39,15
7.2,59,19
7.8,30,18
7.2,48,24
6,30,25
8.7,31,26
9,29,27
7.8,32,26
7.2,38,25
7.2,30,20
8.9,37,18
8.7,45,17
9.2,55,19
9,76,21
7.2,69,22
8.2,81,25
8.3,63,24
6.9,37,25
8.2,68,26
7.9,72,29
7.8,62,27
7.6,56,27
7.6,57,27
6.9,32,28
5,44,26
6.3,59,27
4.8,28,27
9.3,44,28
9.3,53,27
9.3,58,27
9.3,54,27
9.3,51,27
9.3,59.6,27
9.3,61.5,29
9.3,50.9,27
9.3,50.9,22
9.3,50.4,27
9.3,70.6,29
9.3,66.7,28
9.3,59.6,26
9.3,56.8,26
9.3,50.5,27
9.3,59.5,27
9.3,63.4,32
9.3,40.4,29
9.3,56.2,29
9.3,44.2,32
9.3,67.8,33
9.3,63.1,34
9.3,41.6,35
9.3,71.2,29
9.3,68.6,30
7.9,63.1,29
7.6,67.1,29
6.8,59.5,28
6,32.5,28
5.8,40.3,29
4,63,29
4.5,36.4,36
4.5,62,33
4.5,62,33
5.5,62,28
5.5,53,30
4,57,30
6,55,31
5,60,30
5,34,28
6,41,27
5.7,32,27
4.7,32,29
6.6,66,28
6.9,65,27
7.1,65,28
6.3,59,29
7.5,51,27
8.4,55,30
8,62,29
8.3,69,26
8.6,69,25
8.5,71,27
9.2,69,27
8.5,70,28
8.8,73,27
9.4,66,25
9,69,27
8.3,57,28
8,60,28
7.6,69,26
7.7,69,27
8.9,72,26
6.5,74,23
5.7,61,28
7.1,53,28
6.2,64,25
5.8,73,25
6,73,26
6.7,57,23
6.3,57,24
6.4,63,25
6.2,69,26
6.6,72,24
6.3,65,26
6.3,69,25
6.2,64,23
6.2,60,22
6.5,68,23
6.4,69,23
6.4,65,24
6.3,65,24
6.3,66,23
5.6,38,23
5.9,64,23
6.3,63,25
6.2,63,22
6.6,59,23
6,61,23
7.6,73,25
7.2,73,23
6.8,62,23
6.5,50,22
7.3,47,23
7.2,49,26
7.5,59,25
7.5,64,25
7.2,63,23
6.4,61,23
6,68,25
7.8,60,25
6.4,60,26
6,58,23
6.6,63,22
6.6,69,21
7.2,68,17
8.3,63,28
7.8,39,30
8.1,50,29.2
8.5,58,26.8
8.5,59,26.4
5.8,64,32.2
3,65,26.8
3.5,68,32.7
6.7,63,34
4.8,68,25.5
6.9,70,31.1
6.5,65,35.8
6.4,60,27.9
6.4,58,26.9
8.8,61,28.5
4,51,27.3
4,57,27.2
4,63,28.5
6.7,63,28.8
7,62,31.4
6.7,63,32.5
6.4,62,28.5
6.1,67,33.2
6.5,65,32
6.4,66,31.2
6,66,30
4.7,66,30.2
4.7,68,32.5
6.5,67,30.4
8.5,64,28.8
7.5,59,31.3
5.5,69,33.6
5.5,58,25.2
5.5,60,25.8
5.2,51,26.9
5.5,69,26.8
5.5,37,31.8
5.2,38,33.2
4.7,66,26.7
4.5,40,31.2
4.5,69,31.2
4.5,69,31.6
7,70,32.5
5,74,32.3
7.3,38,31.4
5.5,67,31.2
6,60,29.8
4,50,32
4.5,50,32.4
4.3,50,32.7
5.8,50,33.2
5.2,50,32
9.3,50,30.5
5.2,66,30
5.6,70,27
4.8,65,33.3
5.4,60,36.3
6.9,29,33.9
5.5,17,22.4
5.8,60,24.5
5.3,22,26.5
5,34,35
5,29,35
5.3,27,35
4,32,34
5.6,32,34
5,19,34
3.9,34,34
8.8,29,34
4.5,33,33
4.9,42,33
5,28,33
5,36,33
6,46,33
6.6,34,33
6.9,30,32
7,28,33
7.3,36,33
5,34,32
7,32,32
5,28,32
7,22,32
7,35,33
5.3,29,32
5,27,32
6.5,22,32
5.5,26,32
7.1,17,32
7.4,17,32
7.6,17,32
7.4,24,32
4.8,39,32
5.2,29,32
6,30,30
4.8,27,30
5,29,30
5.8,29,30
6.4,29,30
4.7,23,30
5,17,29
5.8,34,28
6.3,17,28
4.8,32,26
5,31,26
5.8,37,28
4.8,41,28
5,30,27
5.8,38,28
7.7,35,28
7.5,42,28
7.8,40,28
7.7,45,28
4,39,28
4.3,41,28
4.9,35,28
4.7,44,28
8.4,46,28
8,45,28
6.9,36,27
5.4,40,27
3.9,38,27
7,44,27
7,35,27
7.5,39,28
7.4,43,28
6.5,41,28
5.5,32.1,28
7.5,36,28
7.5,20,28
5.4,26,28
5.9,32,28
6.7,27,28
6.6,63,28
6,60,28
5.3,51,27
6.2,15,28
5.6,16,28
5.4,25,28
5.8,12,28
6.4,37,28
6.7,39,28
6.1,31,28
6.1,16,28
6.1,63,28
6.3,68,28
6.1,88,28
6.7,69,28
6.8,15,27
6.1,14,28
7.1,13,25
6.9,60,25
7.2,54,25
7,36,25
7,42,26
7,43,25
7,40,35
7,61,35
7,82,35
7,15,34
7,16,34
7,39,34
7,41,34
7,54,34
4.2,47,33
4.2,22,33
13,52,33
8,43,33
7.7,22,33
7.3,31,32
7.3,24,32
7.7,30,33
8,27,33
8.7,21,32
8.8,19,32
8.7,16,32
8.8,22,32
9.2,56,33
8.8,63,32
8.9,62,32
9.4,88,32
8.2,22,32
8.2,68,32
9.8,80,32
9.2,66,32
9.4,75,32
8.9,54,32
8.6,65,32
8.8,77,30
9.1,29,30
8.4,84,30
8.9,19,32
8.9,19,32
7.8,14,32
9.7,22,32
9.1,22,32
8.2,19,32
8.2,37,32
8.8,18,32
9.6,37,32
8.9,32,31
8.9,19,31
8.2,20,31
9.2,38,31
8.3,24,29
9.1,32,29
8.5,33,29
9.3,29,31
9.1,32,28
8.1,24,28
8.9,52,28
8.8,54,28
9.8,45,28
9.3,20,31
8.6,42,31
9.3,42,28
9.1,34,25
8.2,45,25
8.6,41,25
8.7,85,25
8.5,58,25
9,59,26
7.9,38,26
9.5,44,25
9.5,26,26
9.7,23,26
9,29,27
9.3,25,27
8.7,65,27
8.6,65,27
9.9,25,27
9.5,27,27
8.7,83,28
9.5,33,28
8.4,94,28
8.7,43,28
9.1,44,28
9,35,28
8.8,24,28
9.6,68,28
8.7,36,28
8.7,29,28
8.5,12,28
8.9,12,27
8.9,10,26
8.1,12,25
9.3,10,27
11.9,14,25
8.8,21,26
8.6,12,25
9,13,25
9.6,14,35
8.8,16,35
9.1,24,34
8.6,15,34
8.4,14,34
8.6,31,34
8.4,37,34
8.8,62,33
9.3,37,33
9.1,54,33
9.1,59,33
9.2,45,33
8.6,45,32
8.4,34,32
9.2,70,33
8.9,36,33
9.3,51,32
7.3,63,32
9.2,56,32
9,39,32
9,76,32
9.1,43,32
7,43,32
7.4,41,32
6.5,54,32
7.2,50,32
7.8,59,32
7.2,50,32
6,62,32
8.7,52,32
9,49,30
7.8,48,33
7.2,55,32
7.2,40,32
8.9,50,32
8.7,50,32
9.2,33,32
9,26,32
7.2,36,32
8.2,46,32
8.3,43,32
6.9,33,32
8.2,33,32
7.9,31,32
7.8,35,32
7.6,33,32
7.6,19,29
6.9,20,29
5,19,29
6.3,44,29
4.8,49,28
9.3,49,28
9.3,14,28
9.3,30,28
9.3,75,31
9.3,62,28
9.3,31,28
9.3,25,28
9.3,32,28
9.3,93,25
9.3,45,25
9.3,29,25
9.3,28,25
9.3,38,26
9.3,41,26
9.3,23,26
9.3,40,26
9.3,40,26
9.3,45,27
9.3,73,27
9.3,39,27
9.3,83,27
9.3,58,27
9.3,88,27
9.3,36,27
9.3,52,27
7.9,37,27
7.6,53,27
6.8,84,28
6,52,28
5.8,49,28
4,61,28
4.5,49,28
4.5,20,26
4.5,24,26
5.5,52,26
5.5,22,26
4,33,27
6,45,25
5,14,25
5,95,27
6,33,27
5.7,55,19
4.7,34,20
6.6,16,17
6.9,57,14
7.1,25,18
6.3,18,16
7.5,19,20
8.4,37,12
8,99,10
8.3,96,15
8.6,31,17
8.5,74,16
9.2,26,19
8.5,18,14
8.8,63,10
9.4,46,13
9,46,14
8.3,31,18
8,15,15
7.6,15,12
7.7,31,9
8.9,51,3
6.5,36,5
5.7,19,6
7.1,57,7
6.2,48,5
5.8,22,3
6,19,-1
6.7,19,0
6.3,14,11
6.4,31,8
6.2,25,4
6.6,47,6
6.3,20,1
6.3,63,2
6.2,32,-1
6.2,90,0
6.5,51,4
6.4,28,8
6.4,23,9
6.3,61,5
6.3,40,1
5.6,23,0
5.9,24,0
6.3,18,0
6.2,17,2
6.6,17,3
6,62,2
7.6,48,5
7.2,48,3
6.8,31,7
6.5,66,6
7.3,56,6
7.2,57,7
7.5,64,5
7.5,48,9
7.2,57,9
6.4,63,12
6,68,10
7.8,74,11
6.4,61,12
6,27,12
6.6,88,12
6.6,35,21
7.2,17,14
8.3,40,15
7.8,40,16
8.1,19,25.2
8.5,20,20.6
8.5,15,22.7
5.8,17,21.8
3,27,20.1
3.5,18,11.6
6.7,19,9.4
4.8,17,13.4
6.9,20,10.4
6.5,18,10.3
6.4,16,8.2
6.4,18,8.2
8.8,19,5.2
4,16,7.3
4,18,2.3
4,34,0.3
6.7,23,3.4
7,28,2.3
6.7,37,7.1
6.4,17,6.4
6.1,11,4.1
6.5,39,11
6.4,17,12
6,17,2
4.7,45,3
4.7,63,6
6.5,57,6
8.5,71,9
7.5,64,8
5.5,54,12
5.5,58,9
5.5,47,14
5.2,64,10
5.5,39.5,9
5.5,60,12
5.2,40,19.5
4.7,42,18
4.5,43,19
4.5,43,18
4.5,42,15
7,43,15
5,42,20
7.3,42,15
5.5,40,15
6,39,11
4,60,16
4.5,65,15
4.3,60,8
5.8,70,17
5.2,70,12
9.3,70,21
5.2,60,17
5.6,60,22.5
4.8,60,20
5.4,60,22
6.9,60,23
5.5,60,13
5.8,60,13
5.3,60,29
5,60,27
5,60,26
5.3,60,31
4,60,1
5.6,60,3
5,60,3
3.9,45,4
8.8,48,4
4.5,47,1
4.9,46,1
5,47,3
5,48,12
6,45,16
6.6,46,8
6.9,56,8
7,48,5.5
7.3,48,5
5,55,7
7,57,6
5,56,6
7,25,3
7,27,5
5.3,20,6
5,24,6
6.5,22,6
5.5,21,4
7.1,24,6
7.4,23,5
7.6,21,10
7.4,23,11
4.8,22,9.8
5.2,21,11.4
6,22,11.8
4.8,23,12
5,21,8
5.8,19,4
6.4,18,0
4.7,22,7
5,18,7
5.8,19,9
6.3,17,0
4.8,22,0
5,18,0
5.8,18,1
4.8,21,2
5,18,3
5.8,18,-1
7.7,19,1
7.5,17,8
7.8,18,9
7.7,18,3
4,60,13
4.3,61,4
4.9,58,3
4.7,58,5
8.4,58,3
8,58,6
6.9,56,4
5.4,57,2
3.9,58,2
7,57,4
7,57,2
7.5,55,2
7.4,58,-2
6.5,55,2
5.5,56,-1
7.5,60,-3
7.5,57.4,-1
5.4,51,2
5.9,68.1,-4
6.7,54.5,1
6.6,50.7,5
6,61.6,12
5.3,34.7,8
6.2,48.5,12
5.6,29,10
5.4,23.7,1
5.8,20.8,2
6.4,68.2,2
6.7,57.4,1
6.1,59.3,0
6.1,45.5,0
6.1,67.8,0
6.3,57.8,1
6.1,41.7,1
6.7,46.6,3
6.8,41.4,2
6.1,44.8,2
7.1,63.1,2
6.9,54.9,8
7.2,53.7,17
7,51.9,9
7,49.5,6
7,49.5,6
7,44.7,4
7,68.2,7
7,54.9,7
7,54.5,6
7,33,1
7,34.1,12
7,41.7,5
7,33.7,9
4.2,61.9,3
4.2,52.9,12
13,52.4,10
8,20.6,11
7.7,40.3,12
7.3,54,14
7.3,44.7,15
7.7,54.2,14
8,55.9,14
7,37.9,13
7.2,67.8,1
7,52.6,4
7.2,46.2,8
7.2,46.2,9
7,21,9
6,15,16
8.1,14,16
8.6,16,17
8.1,15,13
8,16,17
7.9,16,11
8,15,14
7.8,17,15
7.9,15,13
7.9,15,16
7.8,15,12
8,14,11
8.7,15,10
7.5,14,10
5.8,14,12
5.5,14,16
8.5,15,5
8.4,6,8.4
7.7,58,10.5
7.7,52,13.5
7.5,39,12.7
7.5,39,15.4
6,37,14
5,31,7.7
6,28,10.2
5,25,3
6,18,14.6
7,18,17
8.2,18,20.6
8.5,17,18.2
9,19,13
8.3,20,4
7.8,19,-2
8.1,20,-2
8,19,13
8.2,20,23.1
8,20,23.5
8,21,22
8.2,17,14.5
8,21,14.3
8.1,22,17.9
8.5,18,18.4
8.1,20,17.1
8.6,19,15.1
7.5,19,15.6
7.8,19,19.8
7.8,19,27.6
7,19,24.3
7.1,20,19.1
7.1,20,0.8
6.6,19,9
6.9,20,11.5
7.1,20,8.9
7.1,22,-0.6
7.1,23,14
7.3,23,12
7.6,23,10
8.8,23,6
