pH,Humidity,Air Temp,Plant Type
4.5,65,15,Unknown
4.3,60,8,Unknown
5.8,70,17,Unknown
5.2,70,12,Unknown
9.3,70,21,Unknown
5.2,60,17,Unknown
5.6,60,22.5,Unknown
4.8,60,20,Unknown
5.4,60,22,Unknown
6.9,60,23,Warm-Season Fruits and Vegetables
5.5,60,13,Unknown
5.8,60,13,Leafy Greens and Root Vegetables
5.3,60,29,Unknown
5,60,27,Unknown
5,60,26,Unknown
5.3,60,31,Unknown
4,60,1,Unknown
5.6,60,3,Unknown
5,60,3,Unknown
3.9,45,4,Unknown
8.8,48,4,Unknown
4.5,47,1,Unknown
4.9,46,1,Unknown
5,47,3,Unknown
5,48,12,Unknown
6,45,16,Leafy Greens and Root Vegetables
6.6,46,8,Unknown
6.9,56,8,Unknown
7,48,5.5,Unknown
7.3,48,5,Unknown
5,55,7,Unknown
7,57,6,Unknown
5,56,6,Unknown
7,25,3,Unknown
7,27,5,Unknown
5.3,20,6,Berries and Evergreens
5,24,6,Berries and Evergreens
6.5,22,6,Unknown
5.5,21,4,Berries and Evergreens
7.1,24,6,Unknown
7.4,23,5,Unknown
7.6,21,10,Unknown
7.4,23,11,Unknown
4.8,22,9.8,Berries and Evergreens
5.2,21,11.4,Unknown
6,22,11.8,Unknown
4.8,23,12,Unknown
5,21,8,Berries and Evergreens
5.8,19,4,Unknown
6.4,18,0,Unknown
4.7,22,7,Berries and Evergreens
5,18,7,Unknown
5.8,19,9,Unknown
6.3,17,0,Unknown
4.8,22,0,Berries and Evergreens
5,18,0,Unknown
5.8,18,1,Unknown
4.8,21,2,Berries and Evergreens
5,18,3,Unknown
5.8,18,-1,Unknown
7.7,19,1,Unknown
7.5,17,8,Unknown
7.8,18,9,Unknown
7.7,18,3,Unknown
4,60,13,Unknown
4.3,61,4,Unknown
4.9,58,3,Unknown
4.7,58,5,Unknown
8.4,58,3,Unknown
8,58,6,Unknown
6.9,56,4,Unknown
5.4,57,2,Unknown
3.9,58,2,Unknown
7,57,4,Unknown
7,57,2,Unknown
7.5,55,2,Unknown
7.4,58,-2,Unknown
6.5,55,2,Unknown
5.5,56,-1,Unknown
7.5,60,-3,Unknown
7.5,57.4,-1,Unknown
5.4,51,2,Unknown
5.9,68.1,-4,Unknown
6.7,54.5,1,Unknown
6.6,50.7,5,Unknown
6,61.6,12,Unknown
5.3,34.7,8,Berries and Evergreens
6.2,48.5,12,Leafy Greens and Root Vegetables
5.6,29,10,Unknown
5.4,23.7,1,Berries and Evergreens
5.8,20.8,2,Unknown
6.4,68.2,2,Unknown
6.7,57.4,1,Unknown
6.1,59.3,0,Unknown
6.1,45.5,0,Unknown
6.1,67.8,0,Unknown
6.3,57.8,1,Unknown
6.1,41.7,1,Unknown
6.7,46.6,3,Unknown
6.8,41.4,2,Unknown
6.1,44.8,2,Unknown
7.1,63.1,2,Unknown
6.9,54.9,8,Unknown
7.2,53.7,17,Herbs and Aromatic Plants
7,51.9,9,Unknown
7,49.5,6,Unknown
7,49.5,6,Unknown
7,44.7,4,Unknown
7,68.2,7,Unknown
7,54.9,7,Unknown
7,54.5,6,Unknown
7,33,1,Unknown
7,34.1,12,Unknown
7,41.7,5,Unknown
7,33.7,9,Unknown
4.2,61.9,3,Unknown
4.2,52.9,12,Unknown
13,52.4,10,Unknown
8,20.6,11,Unknown
7.7,40.3,12,Unknown
7.3,54,14,Unknown
7.3,44.7,15,Herbs and Aromatic Plants
7.7,54.2,14,Unknown
8,55.9,14,Unknown
7,37.9,13,Unknown
7.2,67.8,1,Unknown
7,52.6,4,Unknown
7.2,46.2,8,Unknown
7.2,46.2,9,Unknown
7,21,9,Unknown
6,15,16,Unknown
8.1,14,16,Unknown
8.6,16,17,Unknown
8.1,15,13,Unknown
8,16,17,Unknown
7.9,16,11,Unknown
8,15,14,Unknown
7.8,17,15,Unknown
7.9,15,13,Unknown
7.9,15,16,Unknown
7.8,15,12,Unknown
8,14,11,Unknown
8.7,15,10,Unknown
7.5,14,10,Unknown
5.8,14,12,Unknown
5.5,14,16,Unknown
8.5,15,5,Unknown
8.4,6,8.4,Unknown
7.7,58,10.5,Unknown
7.7,52,13.5,Unknown
7.5,39,12.7,Unknown
7.5,39,15.4,Unknown
6,37,14,Leafy Greens and Root Vegetables
5,31,7.7,Berries and Evergreens
6,28,10.2,Unknown
5,25,3,Berries and Evergreens
6,18,14.6,Unknown
7,18,17,Unknown
8.2,18,20.6,Unknown
8.5,17,18.2,Unknown
9,19,13,Unknown
8.3,20,4,Unknown
7.8,19,-2,Unknown
8.1,20,-2,Unknown
8,19,13,Unknown
8.2,20,23.1,Unknown
8,20,23.5,Unknown
8,21,22,Unknown
8.2,17,14.5,Unknown
8,21,14.3,Unknown
8.1,22,17.9,Unknown
8.5,18,18.4,Unknown
8.1,20,17.1,Unknown
8.6,19,15.1,Unknown
7.5,19,15.6,Unknown
7.8,19,19.8,Unknown
7.8,19,27.6,Unknown
7,19,24.3,Unknown
7.1,20,19.1,Unknown
7.1,20,0.8,Unknown
6.6,19,9,Unknown
6.9,20,11.5,Unknown
7.1,20,8.9,Unknown
7.1,22,-0.6,Unknown
7.1,23,14,Unknown
7.3,23,12,Unknown
7.6,23,10,Unknown
8.8,23,6,Unknown
9.2,23,10,Unknown
8.9,23,7,Unknown
7.2,23,8,Unknown
7,25,3,Unknown
7.1,26,3,Unknown
6.9,23,1,Unknown
7.4,26,0,Unknown
7.1,26,4,Unknown
7.5,28,20,Unknown
7.1,23,9,Unknown
6.9,24,13,Unknown
7.2,24,20,Unknown
6.8,23,15,Unknown
7.4,23,15,Unknown
7.3,24,12,Unknown
7.5,25,8,Unknown
6.8,17,8,Unknown
7,20,0,Unknown
7.2,19,10,Unknown
7.1,22,18.2,Unknown
7.3,20,15,Unknown
7.3,30,9.1,Unknown
6.9,76.6,9.7,Unknown
7.2,58.1,10.6,Unknown
7,68,8.4,Unknown
6.8,66,42.5,Unknown
6.8,66,41.9,Unknown
6.9,71,41.4,Unknown
7,65,42.5,Unknown
7.1,62,34.3,Unknown
6.8,62,31.4,Unknown
6.4,52,31.8,Unknown
6.5,72,28.8,Tropical and Wetland Plants
6.5,48,29.2,Unknown
6.3,56,30.4,Unknown
6.4,46,29.4,Unknown
6.7,49,26.5,Warm-Season Fruits and Vegetables
6.1,40,30.6,Unknown
6.1,51,24.3,Unknown
6.4,67,23.8,Unknown
6.4,50,27.3,Unknown
6.3,58,23.6,Unknown
6.1,58,22.9,Unknown
6.7,72,26.5,Tropical and Wetland Plants
6.6,74,23.4,Unknown
6.5,79,26.8,Tropical and Wetland Plants
6.5,43,30.2,Unknown
6.4,71,31.4,Tropical and Wetland Plants
6.5,71,26.8,Tropical and Wetland Plants
6.6,46,36.8,Unknown
6.3,56,35.6,Unknown
6.4,60,34.6,Unknown
6.3,69,38.1,Unknown
6.2,33,38.9,Unknown
3.4,33,38.1,Unknown
7,33,41.8,Unknown
6.8,52,42.9,Unknown
6.7,52,33.6,Unknown
6.4,51,33.8,Unknown
5.3,51,35.2,Unknown
8.9,40,36.7,Drought-Resistant Plants
8.1,64,29.3,Unknown
6.5,63,28.7,Unknown
9,42,20,Unknown
7.8,51,19.9,Herbs and Aromatic Plants
8.1,62,20.1,Unknown
7.8,74,20.4,Unknown
8,70,26,Unknown
8.2,60,31.7,Unknown
7.9,61,31.7,Unknown
7.9,65,24.5,Unknown
7,44,22.7,Warm-Season Fruits and Vegetables
7.5,51,16.4,Herbs and Aromatic Plants
7.5,39,16.4,Unknown
6,48,16.4,Leafy Greens and Root Vegetables
6,59,16.4,Leafy Greens and Root Vegetables
6,51,20.1,Unknown
7.7,40,20.3,Herbs and Aromatic Plants
8.2,17,20.9,Unknown
8,21,19.4,Unknown
8.2,35,21.3,Unknown
7.9,47,22.4,Herbs and Aromatic Plants
8.3,48,17.8,Unknown
8.3,48,17.8,Unknown
7.9,52,20,Herbs and Aromatic Plants
8.3,52,36.2,Unknown
8.4,50,28,Unknown
8.3,18,28,Unknown
8,18,28,Unknown
8,43,28,Unknown
8,34,29,Unknown
8,30,29,Unknown
9.2,53,29,Unknown
9.4,53,29,Unknown
7.4,63,29,Warm-Season Fruits and Vegetables
7.6,53,23,Herbs and Aromatic Plants
7.4,55,30,Warm-Season Fruits and Vegetables
10,56,29,Unknown
6.6,37,29,Unknown
8.6,35,29,Unknown
6.9,36,28,Unknown
7.2,33,28,Unknown
7.2,35,28,Unknown
6.5,37,28,Unknown
7.5,36,26,Unknown
7,36,29,Unknown
7,36,29,Unknown
8.1,36,27,Unknown
9.2,38,27,Unknown
7.8,37,28,Unknown
7.6,35,28,Unknown
7.1,37,30,Unknown
8.4,38,24,Unknown
8.6,38,20,Unknown
8.5,37,27,Unknown
7,35,27,Unknown
6.4,36,27,Unknown
8.1,35,21,Unknown
7.4,36,21,Unknown
7.3,36,22,Unknown
4,27,20,Unknown
7,36,20,Unknown
7.9,35,20,Unknown
7.2,27,28,Unknown
7.2,29,28,Unknown
7.1,29,28,Unknown
7.6,29,23,Unknown
7.4,29,23,Unknown
9.6,63,22,Unknown
5.6,32,23,Unknown
7.6,33,22,Unknown
8.3,40,24,Unknown
8.4,43,23,Unknown
8.4,40,20,Unknown
8.6,49,20,Unknown
7.8,48,17,Herbs and Aromatic Plants
8.1,40,32,Drought-Resistant Plants
6.5,60,32,Unknown
7.5,52,32,Unknown
7.9,50,32,Unknown
9.3,70,28,Unknown
8.2,70,28,Unknown
9.3,70,27,Unknown
8.6,70,27,Unknown
9.2,60,27,Unknown
8.2,50,27,Unknown
7.2,50,23,Warm-Season Fruits and Vegetables
7.2,40,23,Warm-Season Fruits and Vegetables
6.7,40,30,Warm-Season Fruits and Vegetables
6.8,50,24,Warm-Season Fruits and Vegetables
4.5,50,24,Unknown
8,42,24,Herbs and Aromatic Plants
7,40,24,Warm-Season Fruits and Vegetables
7,40,24,Warm-Season Fruits and Vegetables
6,40,25,Unknown
5,55,25,Unknown
5.1,44,25,Unknown
4.8,45,25,Unknown
5.6,54,25,Unknown
4,42,25,Unknown
4.8,45,25,Unknown
5.4,43,22,Unknown
4.4,42,22,Unknown
4.4,42,22,Unknown
6.1,53,22,Unknown
5.5,53,22,Unknown
4.5,62,22,Unknown
4.3,50,22,Unknown
5.1,63,31,Unknown
5.2,60,33,Unknown
4.8,62,33,Unknown
4.7,62,31,Unknown
5.4,63,25,Unknown
6.9,60,26,Warm-Season Fruits and Vegetables
6.6,49,26,Warm-Season Fruits and Vegetables
7.6,37,29,Unknown
8.9,37,29,Unknown
7.7,40,29,Unknown
7.9,40,28,Unknown
8.9,40,28,Unknown
9.2,48,28,Unknown
9.4,50,30,Unknown
9.1,59,30,Unknown
9,61,29,Unknown
8.9,61,31,Unknown
6,49,30,Unknown
6,41,30,Unknown
6,64,30,Unknown
6,27,30,Unknown
6,38,31,Unknown
6,33,29,Unknown
6,31,28,Unknown
6,19,27,Unknown
6,21,29,Unknown
6,51,30,Unknown
6,53,33,Unknown
6,26,29,Unknown
6,54,29,Unknown
6,41,30,Unknown
5,56,29,Unknown
6,43,31,Unknown
6,40,32,Unknown
6,35,30,Unknown
6,35,30,Unknown
6,33,31,Unknown
6,48,32,Unknown
6,30,30,Unknown
7,43,32,Unknown
7,40,33,Unknown
6,44,32,Unknown
6,38,30,Unknown
6,47,31,Unknown
6,45,31,Unknown
6,47,29,Unknown
6,28,30,Unknown
6,22,29,Unknown
6,25,29,Unknown
6,23,31,Unknown
6,28,30,Unknown
6,24,29,Unknown
6,45,30,Unknown
6,36,33,Unknown
6,34,34,Unknown
6,24,31,Unknown
6,23,30,Unknown
6,38,29,Unknown
6,48,28,Unknown
6,40,29,Unknown
5.5,33.8,31,Unknown
6.8,27,29,Unknown
6.8,15,29,Unknown
5.7,16,29,Unknown
5.4,24,30,Unknown
6.5,36,33,Unknown
6.7,39,34,Unknown
6,55,31,Unknown
5.5,48,32,Unknown
6.5,33,32,Unknown
8,28,30,Drought-Resistant Plants
7.5,35,33,Drought-Resistant Plants
7.5,29,33,Drought-Resistant Plants
6,57,37,Unknown
6,58,36,Unknown
6,51,37,Unknown
7.8,38,36,Drought-Resistant Plants
6.9,38,37,Unknown
7.2,28,32,Unknown
7.2,20,32,Unknown
7.1,35,34,Unknown
7.2,43,34,Unknown
7.8,53,34,Unknown
8,55,34,Unknown
7,55,35,Unknown
6.6,52,34,Unknown
7.2,51,34,Unknown
7.4,53,35,Unknown
7.6,54,34,Unknown
7.3,61,35,Unknown
7.9,55,35,Unknown
7.7,54,38,Unknown
7.8,36,39,Drought-Resistant Plants
8.4,31,37,Drought-Resistant Plants
8.4,31,38,Drought-Resistant Plants
4.1,44,39,Unknown
4.3,48,38,Unknown
4,35,38,Unknown
4.9,35,38,Unknown
7.7,42,38,Unknown
8,42,39,Unknown
7.2,38,37,Unknown
6.1,39,40,Unknown
6.8,48,39,Unknown
6.4,40,38,Unknown
5.7,35,34,Unknown
5.7,43,33,Unknown
5.7,51,30,Unknown
7.9,54,32,Unknown
6,48,33,Unknown
6,60,33,Unknown
7.3,42,34,Unknown
7.8,48,30,Unknown
7.5,44,32,Unknown
7.2,49,31,Unknown
7.3,49,31,Unknown
7.5,53,32,Unknown
6.7,55,32,Unknown
7,40,31,Unknown
8,50,36,Unknown
6,47,33,Unknown
7,55,34,Unknown
8,63,37,Unknown
7.3,63,32,Unknown
8,56,33,Unknown
8,49,31,Unknown
7.5,63,38,Unknown
7.5,42,34,Unknown
7.5,42,39,Unknown
7.3,31,38,Unknown
5.8,35,34,Unknown
7,33,33,Unknown
5.8,31,32,Unknown
5.8,27,33,Unknown
5.8,31,32,Unknown
6,29,35,Unknown
5,29,34,Unknown
9,20,35,Drought-Resistant Plants
7.9,37,29,Unknown
6.9,45,32,Unknown
11.3,46,31,Unknown
8.4,46,32,Unknown
8.4,53,33,Unknown
8.3,53,33,Unknown
6.7,66,31,Unknown
5.2,58,33,Unknown
6.7,54,33,Unknown
7.1,47,31,Unknown
6.7,30,32,Unknown
6.7,25,33,Unknown
6.7,15,34,Unknown
4.8,12,32,Unknown
4.8,15,33,Unknown
6,21,32,Unknown
5,25,32,Unknown
6.3,25,29,Unknown
7,38,31,Unknown
7.1,48,27,Warm-Season Fruits and Vegetables
6.5,39,27,Unknown
7.1,25,28,Unknown
7.1,19,30,Unknown
7,23,32,Unknown
8.3,28,32,Drought-Resistant Plants
3,18,33,Unknown
6.5,40,30,Unknown
5.7,29,35,Unknown
11.3,37,33,Unknown
5.5,30,31,Unknown
5,15,32,Unknown
3,17,33,Unknown
6.5,37,32,Unknown
6.9,35,31,Unknown
6.4,42,33,Unknown
6.8,49,32,Unknown
8.3,49,34,Unknown
8.5,58,34,Unknown
6.8,41,33,Unknown
6.6,47,34,Unknown
4.4,31,33,Unknown
5.6,28,34,Unknown
6.1,29,33,Unknown
5.8,34,32,Unknown
7,45,31,Unknown
7,61,33,Unknown
5,66,30,Unknown
6.3,66,31,Unknown
5.8,61,30,Unknown
6,50,31,Unknown
7.5,58,32,Unknown
7.4,49,32,Unknown
7.5,49,33,Unknown
5.5,31,34,Unknown
7,26,32,Unknown
7,14,31,Unknown
7.8,40,33,Drought-Resistant Plants
8.2,41,34,Unknown
7.9,44,36,Unknown
8.3,39,33,Drought-Resistant Plants
8.5,67,33,Unknown
8.5,65,27,Unknown
5,63,28,Unknown
7,60,28,Warm-Season Fruits and Vegetables
6,60,30,Unknown
7.7,58,34,Unknown
7,56,34,Unknown
7,55,35,Unknown
7.3,54,35,Unknown
7,46,28,Warm-Season Fruits and Vegetables
7.3,44,29,Warm-Season Fruits and Vegetables
7,41,28,Warm-Season Fruits and Vegetables
7.4,60,34,Unknown
5.5,60,33,Unknown
5,54,32,Unknown
5,36,33,Unknown
5,29,34,Unknown
5,40,32,Unknown
5,39,30,Unknown
5,44,34,Unknown
5,42,34,Unknown
5,32,33,Unknown
7,34,34,Unknown
6.4,44,33,Unknown
8.1,51,33,Unknown
8.2,48,32,Unknown
8.1,34,31,Drought-Resistant Plants
7.7,52,31,Unknown
7.4,50,31,Unknown
6,54,30,Unknown
6.5,59,32,Unknown
7,55,33,Unknown
7,57,31,Unknown
4.5,54,30,Unknown
4.6,46,31,Unknown
4.6,53,32,Unknown
5.6,54,32,Unknown
7,51,32,Unknown
6,8,33,Unknown
6.5,6,32,Unknown
5.9,6,32,Unknown
4.8,5,27,Unknown
4.6,5,31,Unknown
7,6,30,Unknown
7.2,28,31,Unknown
6.2,6,31,Unknown
5.5,7,30,Unknown
5.8,30,29,Unknown
4.3,7,28,Unknown
4.2,7,29,Unknown
5.5,9,30,Unknown
8,19,31,Unknown
7.5,9,30,Unknown
7.1,8,28,Unknown
7.5,36,28,Unknown
7.2,25,27,Unknown
7.6,36,27,Unknown
7.2,19,29,Unknown
5.3,31,30,Unknown
5.7,44,31,Unknown
6,38,30,Unknown
6.5,26,30,Unknown
6.5,14,30,Unknown
6.5,29,29,Unknown
7.2,36,28,Unknown
7,53,27,Warm-Season Fruits and Vegetables
6.5,35,21,Unknown
7,25,20,Unknown
7,15,21,Unknown
7,34,21,Unknown
6,15,19,Unknown
6,53,20,Leafy Greens and Root Vegetables
6,22,20,Unknown
6.5,50,20,Leafy Greens and Root Vegetables
6.5,21,20,Unknown
7,15,21,Unknown
7,61,20,Warm-Season Fruits and Vegetables
8,12,20,Unknown
7,6,19,Unknown
7,18,21,Unknown
8,10,20,Unknown
7,16,22,Unknown
7,16,18,Unknown
8,10,25,Unknown
7,10,24,Unknown
7,22,23,Unknown
8,24,25,Unknown
8,70,26,Unknown
10,79,28,Unknown
9,36,26,Unknown
11,24,28,Unknown
7,24,26,Unknown
8,21,29,Unknown
7.9,21,26,Unknown
8.3,16,25,Unknown
8.9,30,24,Unknown
8.1,44,25,Unknown
8,42,24,Herbs and Aromatic Plants
8.1,23.2,25,Unknown
5,39,19,Unknown
5,32,20,Unknown
5.3,32,21,Unknown
6,29,24,Unknown
6.5,29,28,Unknown
6.3,62,27,Unknown
6.7,23,26,Unknown
6.3,23,28,Unknown
5.5,20,28,Unknown
5.1,20,28,Unknown
5,45,27,Unknown
5.5,45,25,Unknown
5.4,30,25,Unknown
5,30,26,Unknown
5.5,49,25,Unknown
6.6,49,29,Warm-Season Fruits and Vegetables
6.3,51,29,Unknown
6.3,30,30,Unknown
5.7,30,29,Unknown
5.5,27,28,Unknown
5.3,27,27,Unknown
5.7,31,25,Unknown
7.1,31,25,Unknown
6.6,42,24,Warm-Season Fruits and Vegetables
6.7,42,20,Warm-Season Fruits and Vegetables
8,28,28,Unknown
7.8,28,27,Unknown
7.8,20,23,Unknown
7.6,20,24,Unknown
7.5,37,30,Drought-Resistant Plants
8,17,31,Unknown
8.1,17,32,Unknown
7.5,22,29,Unknown
7.6,22,27,Unknown
7,10,27,Unknown
7,32,27,Unknown
7.1,15,30,Unknown
7.2,15,28,Unknown
8.6,15,29,Unknown
7.3,15,30,Unknown
8,15,31,Unknown
7.8,35,31,Drought-Resistant Plants
8.6,35,30,Drought-Resistant Plants
8.4,24,30,Drought-Resistant Plants
7.2,24,23,Unknown
7.3,29,25,Unknown
8.7,29,24,Unknown
7.4,13,27,Unknown
7.8,13,28,Unknown
7.8,12,29,Unknown
6.9,12,27,Unknown
7.2,11,29,Unknown
7.4,11,32,Unknown
7.4,47,31,Unknown
7.5,47,33,Unknown
7.5,33,33,Drought-Resistant Plants
7,33,35,Unknown
8.1,36,33,Drought-Resistant Plants
7.9,36,33,Drought-Resistant Plants
8.9,13,33,Unknown
8.8,13,35,Unknown
8.8,13,31,Unknown
7,12,34,Unknown
7,13,33,Unknown
7,13,36,Unknown
6.7,1,35,Unknown
6.5,14,35,Unknown
6.5,14,31,Unknown
6.7,10,35,Unknown
7.2,10,34,Unknown
5.4,10,33,Unknown
9.1,10,31,Unknown
7.3,15,33,Unknown
7.6,15,35,Unknown
7,12,33,Unknown
8,10,31,Unknown
7,10,35,Unknown
8,10,31,Unknown
7,19,33,Unknown
5,19,33,Unknown
5,21,33,Unknown
5,21,35,Unknown
5,32,34,Unknown
5,32,33,Unknown
5,45,33,Unknown
5,35,38,Unknown
6,28,39,Unknown
5,23,38,Unknown
5,27,34,Unknown
6,27,34,Unknown
6,36,28.8,Unknown
6.8,36,8.5,Unknown
6.5,22,6.1,Unknown
5.5,22,3.2,Berries and Evergreens
5,18,5.9,Unknown
5.5,18,7.6,Unknown
5,33,7.2,Berries and Evergreens
6,33,3.9,Unknown
6,20,2,Unknown
6,20,8.2,Unknown
6,24,6.1,Unknown
7.8,29,9.9,Unknown
6.6,22,14.4,Unknown
6.4,35,20.2,Unknown
6,89,19,Unknown
4.6,32,19,Unknown
6.3,37,17,Leafy Greens and Root Vegetables
6.3,37,20,Leafy Greens and Root Vegetables
6.5,59,14,Leafy Greens and Root Vegetables
5.5,59,14,Unknown
5.9,23,12,Unknown
5.9,39,18,Leafy Greens and Root Vegetables
7.3,39,13,Unknown
5,36,15,Unknown
3.8,36,14,Unknown
7.8,31,11,Unknown
10,31,11,Unknown
9.3,33,18,Unknown
9.1,21,15,Unknown
7.6,21,11,Unknown
7.2,33,19,Unknown
7.3,33,15,Unknown
7.5,33,13,Unknown
7,33,14,Unknown
6,59,15,Leafy Greens and Root Vegetables
6,59,14,Leafy Greens and Root Vegetables
6,57,28,Unknown
6.5,57,22,Unknown
5,46,17,Unknown
5,46,19,Unknown
5,77,16,Unknown
5,77,16,Unknown
4,89,14,Unknown
4,89,12,Unknown
4,77,13,Unknown
6.5,77,14,Unknown
7.5,30,13,Unknown
7,30,15,Unknown
6.5,41,16,Leafy Greens and Root Vegetables
6.5,31,16,Leafy Greens and Root Vegetables
6.5,31,13,Leafy Greens and Root Vegetables
7,24,16,Unknown
6,24,15,Unknown
7,18,15,Unknown
6.5,18,16,Unknown
6.5,7,8,Unknown
7,7,12,Unknown
6.2,17,13,Unknown
6.2,17,10,Unknown
6.1,26,10,Unknown
6.1,26,7,Unknown
6.1,25,10,Unknown
6.2,25,8,Unknown
5,27.6,10,Berries and Evergreens
5,20,10,Berries and Evergreens
5,36,12,Unknown
4,36,13,Unknown
4,22,13,Unknown
4,22,14,Unknown
6.5,10,15,Unknown
6.5,10,11,Unknown
7,10,10,Unknown
6.5,17,13,Unknown
7,17,16,Unknown
6.5,17,8,Unknown
6,34,11,Leafy Greens and Root Vegetables
6.5,34,12,Leafy Greens and Root Vegetables
7.5,27,11,Unknown
6.5,27,9,Unknown
6.5,40,10,Leafy Greens and Root Vegetables
6.5,40,6,Unknown
6.5,25,6,Unknown
6.5,25,4,Unknown
6.5,24,4,Unknown
6.5,24,6.5,Unknown
6.5,14,3.5,Unknown
7,14,5,Unknown
7.5,35.9,11,Unknown
5.2,35.9,0,Berries and Evergreens
6,19,5,Unknown
7,19,-6,Unknown
6.7,14,-7,Unknown
6.7,14,-6,Unknown
7,14,-3,Unknown
7,15,-2,Unknown
7,15,-1,Unknown
7,63,-2,Unknown
7,72,-3,Unknown
6.7,71,-3,Unknown
6.5,15,-1,Unknown
6.6,17,4,Unknown
6.8,17,2,Unknown
6.9,18,7,Unknown
7,18,2,Unknown
6.9,40,2,Unknown
6.9,19,7,Unknown
6.9,12,8,Unknown
6.9,17,-1,Unknown
7.5,19,-1.5,Unknown
6.5,18,3,Unknown
6.6,16,-8,Unknown
7.1,17,-10,Unknown
6.9,15,-5,Unknown
5.5,19,-6,Unknown
8.8,18,-4,Unknown
5.7,20,-3,Unknown
5.8,20,-4,Unknown
5.9,12,-3,Unknown
5.9,19,-1,Unknown
7.4,18,10,Unknown
5.5,19,9,Unknown
6,12,8,Unknown
6,18,11,Unknown
7,20,11,Unknown
6.6,19,11,Unknown
7,12,11,Unknown
7.9,17,12,Unknown
8.2,15,15,Unknown
8.7,19,8,Unknown
8.6,20,10,Unknown
8.6,15,11,Unknown
9.3,30,11,Unknown
9.4,15,9.5,Unknown
9.1,17,13.5,Unknown
8.5,19,10,Unknown
7.9,17,6,Unknown
8.2,21,6,Unknown
8.3,20,8,Unknown
7.3,18,5,Unknown
8,18,9,Unknown
5.3,18,7,Unknown
5.3,18,14,Unknown
5.3,19,16,Unknown
5.8,19,13,Unknown
6.5,17,13,Unknown
4.5,17,8,Unknown
4.5,17,4,Unknown
3.1,15,8,Unknown
3.4,18,11,Unknown
5.5,17,13,Unknown
7,19,16,Unknown
7.2,17,17,Unknown
6.9,19,13,Unknown
10.2,17,13,Unknown
7.8,21,15,Unknown
8.2,22,15,Unknown
7.7,12,8,Unknown
8,17,12,Unknown
8,40,19,Herbs and Aromatic Plants
6,19,18,Unknown
8,31,6.5,Unknown
7,17,18.5,Unknown
7.7,17,21,Unknown
6.7,18,23,Unknown
7,31,14,Unknown
6,20,15,Unknown
6.1,15,20,Unknown
5.7,17,20,Unknown
5.3,20,24,Unknown
5.3,22,26,Unknown
4.7,25,22,Unknown
5.6,17,11,Unknown
4.5,29,10,Berries and Evergreens
4.8,20,18,Unknown
4.5,29,14,Unknown
4.5,17,16,Unknown
7.8,17,21,Unknown
5.2,29,23,Unknown
5.3,23,23,Unknown
5.6,23,24,Unknown
4.8,17,25,Unknown
7,29,29,Unknown
8.3,35,18,Unknown
5.7,35,21,Unknown
6.8,25,23,Unknown
6.9,29,24,Unknown
8.3,29,25,Unknown
6.7,20,27,Unknown
6.2,17,26,Unknown
6.8,29,20,Unknown
2.5,20,25,Unknown
6.4,17,25,Unknown
6.5,31,28,Unknown
6.2,20,27,Unknown
6.3,31,29,Unknown
6.3,20,19,Unknown
6.2,31,21,Unknown
6.6,25,24,Unknown
6.9,30,27,Unknown
7.2,30,27,Unknown
6.7,40,30,Warm-Season Fruits and Vegetables
7.2,40,28,Warm-Season Fruits and Vegetables
7.3,40,31,Unknown
5.1,20,18,Unknown
5.9,31,25,Unknown
6,31,27,Unknown
5.5,17,26,Unknown
5.9,31,26,Unknown
4.8,20,25,Unknown
5.8,20,27,Unknown
6.5,19,28,Unknown
5.6,10,29,Unknown
5.9,20,30,Unknown
6.2,10,29,Unknown
5.8,10,32,Unknown
5.3,20,31,Unknown
5.5,20,22,Unknown
4.7,10,28,Unknown
4.7,19,28,Unknown
5,10,28,Unknown
6.7,10,28,Unknown
4.5,15,33,Unknown
7,20,34,Unknown
5.5,15,34,Unknown
8.4,30,28,Unknown
5.5,18,25,Unknown
5.9,20,28,Unknown
6.7,20,23,Unknown
4.5,12,35,Unknown
4.3,17,34,Unknown
7,19,35,Unknown
9.5,17,35,Unknown
8.7,18,25,Unknown
8.6,30,31,Drought-Resistant Plants
7.5,20,32,Drought-Resistant Plants
7.6,17,35,Unknown
7.7,18,33,Unknown
7.7,45,26,Unknown
7.3,20,33,Unknown
7.3,15,35,Unknown
6.5,20,26,Unknown
7.3,15,28,Unknown
9,15,29,Unknown
7.9,17,30,Unknown
8.5,17,29,Unknown
7.5,17,32,Unknown
7.5,20,28,Unknown
7.8,22,30,Drought-Resistant Plants
7.6,17,30,Unknown
7.5,22,25,Unknown
7.7,16,27,Unknown
7.8,17,28,Unknown
8,18,27,Unknown
8.1,20,29,Unknown
8.1,20,20,Unknown
5.5,16,26,Unknown
5.7,15,26.5,Unknown
5.3,23,25.5,Unknown
8.2,17,27,Unknown
7,20,28,Unknown
7,12,22,Unknown
7.5,20,28,Unknown
7.7,17,27,Unknown
7,20,29,Unknown
6.9,20,29,Unknown
6.5,20,27,Unknown
6,20,21,Unknown
6.6,20,27,Unknown
7.5,20,21.5,Unknown
7.3,20,16.3,Unknown
6.7,20,21.6,Unknown
7.9,17,20.9,Unknown
8,17,25.5,Unknown
8.1,17,24.8,Unknown
8.4,17,19.3,Unknown
7,30,19.4,Unknown
7,17,20.2,Unknown
8,12,20.1,Unknown
6.3,17,23.4,Unknown
